batch,source_id,title,catalog_url,priority,commercial_use,yolo_readiness,sam3_readiness,intake_status,required_review
backlog,ade20k:2021,ADE20K,https://groups.csail.mit.edu/vision/datasets/ADE20K/,P2,unknown,conversion_required,mask_ready,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,sh17:safety-helmet,SH17 Safety Helmet Dataset,https://github.com/ahmadmughees/sh17dataset,P2,research_only,conversion_required,box_prompt_convertible,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,pascal-voc:2012,PASCAL VOC 2012,https://host.robots.ox.ac.uk/pascal/VOC/,P2,unknown,conversion_required,mask_ready,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,visdrone:2019,VisDrone,https://github.com/VisDrone/VisDrone-Dataset,P2,research_only,conversion_required,box_prompt_convertible,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,xview:2018,xView,https://challenge.xviewdataset.org/,P2,conditional,conversion_required,box_prompt_convertible,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:abdullahmeda/yolov8-table-detection,abdullahmeda/yolov8-table-detection,https://huggingface.co/datasets/abdullahmeda/yolov8-table-detection,P3,unknown,native_yolo,box_prompt_convertible,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:AdamShih/Marine-Semantic-Segmentation-Training-Dataset,AdamShih/Marine-Semantic-Segmentation-Training-Dataset,https://huggingface.co/datasets/AdamShih/Marine-Semantic-Segmentation-Training-Dataset,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:adarshxs/voxcpm2-sglang-omni-samples,adarshxs/voxcpm2-sglang-omni-samples,https://huggingface.co/datasets/adarshxs/voxcpm2-sglang-omni-samples,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:afshin-dini/Egg-Instance-Segmentation,afshin-dini/Egg-Instance-Segmentation,https://huggingface.co/datasets/afshin-dini/Egg-Instance-Segmentation,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:AgamP/YolovCsv,AgamP/YolovCsv,https://huggingface.co/datasets/AgamP/YolovCsv,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:ai4bharat/samanantar,ai4bharat/samanantar,https://huggingface.co/datasets/ai4bharat/samanantar,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:ali-sh07/Phenobench_semantic_segmentation,ali-sh07/Phenobench_semantic_segmentation,https://huggingface.co/datasets/ali-sh07/Phenobench_semantic_segmentation,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:alimranfakir/yolov8,alimranfakir/yolov8,https://huggingface.co/datasets/alimranfakir/yolov8,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:AnnalisaAppice/SWIFTT-bark_beetle_detection_semantic_segmentation,AnnalisaAppice/SWIFTT-bark_beetle_detection_semantic_segmentation,https://huggingface.co/datasets/AnnalisaAppice/SWIFTT-bark_beetle_detection_semantic_segmentation,P3,unknown,review_required,mask_ready,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:approximatelabs/tablib-v1-sample,approximatelabs/tablib-v1-sample,https://huggingface.co/datasets/approximatelabs/tablib-v1-sample,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:archispace/ROI-1555_Rebar_Detection_and_Instance_Segmentation_Dataset,archispace/ROI-1555_Rebar_Detection_and_Instance_Segmentation_Dataset,https://huggingface.co/datasets/archispace/ROI-1555_Rebar_Detection_and_Instance_Segmentation_Dataset,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:as-cle-bert/breastcancer-semantic-segmentation,as-cle-bert/breastcancer-semantic-segmentation,https://huggingface.co/datasets/as-cle-bert/breastcancer-semantic-segmentation,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:As-im/Delhi-Canopy-High-Res-Semantic-Segmentation,As-im/Delhi-Canopy-High-Res-Semantic-Segmentation,https://huggingface.co/datasets/As-im/Delhi-Canopy-High-Res-Semantic-Segmentation,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:aspis/car_background_removal_coco_panoptic,aspis/car_background_removal_coco_panoptic,https://huggingface.co/datasets/aspis/car_background_removal_coco_panoptic,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:aspis/car_background_removal_coco_panoptic_test,aspis/car_background_removal_coco_panoptic_test,https://huggingface.co/datasets/aspis/car_background_removal_coco_panoptic_test,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:ATUMUNMOON/Egg-Instance-Segmentation,ATUMUNMOON/Egg-Instance-Segmentation,https://huggingface.co/datasets/ATUMUNMOON/Egg-Instance-Segmentation,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:autoevaluate/autoeval-eval-autoevaluate__zero-shot-classification-sample-autoevalu-912bbb-1484454284,autoevaluate/autoeval-eval-autoevaluate__zero-shot-classification-sample-autoevalu-912bbb-1484454284,https://huggingface.co/datasets/autoevaluate/autoeval-eval-autoevaluate__zero-shot-classification-sample-autoevalu-912bbb-1484454284,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:beethogedeon/Trucks-Detection-Yolov8,beethogedeon/Trucks-Detection-Yolov8,https://huggingface.co/datasets/beethogedeon/Trucks-Detection-Yolov8,P3,unknown,conversion_required,box_prompt_convertible,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:bertin-project/mc4-es-sampled,bertin-project/mc4-es-sampled,https://huggingface.co/datasets/bertin-project/mc4-es-sampled,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:bertin-project/mc4-sampling,bertin-project/mc4-sampling,https://huggingface.co/datasets/bertin-project/mc4-sampling,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:BIDJOE/chvg-yolo,BIDJOE/chvg-yolo,https://huggingface.co/datasets/BIDJOE/chvg-yolo,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:Bingsu/wider_face_yolo,Bingsu/wider_face_yolo,https://huggingface.co/datasets/Bingsu/wider_face_yolo,P3,unknown,conversion_required,box_prompt_convertible,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:bryanbocao/coco_minitrain,bryanbocao/coco_minitrain,https://huggingface.co/datasets/bryanbocao/coco_minitrain,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:CanPeh98/InstanceSegmentation,CanPeh98/InstanceSegmentation,https://huggingface.co/datasets/CanPeh98/InstanceSegmentation,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:ceram1324/YOLO-GC,ceram1324/YOLO-GC,https://huggingface.co/datasets/ceram1324/YOLO-GC,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:chitradrishti/SemanticSegmentation,chitradrishti/SemanticSegmentation,https://huggingface.co/datasets/chitradrishti/SemanticSegmentation,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:chmanoj/ai4bharat__samanantar_processed_te,chmanoj/ai4bharat__samanantar_processed_te,https://huggingface.co/datasets/chmanoj/ai4bharat__samanantar_processed_te,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:ChristophSchuhmann/MS_COCO_2017_URL_TEXT,ChristophSchuhmann/MS_COCO_2017_URL_TEXT,https://huggingface.co/datasets/ChristophSchuhmann/MS_COCO_2017_URL_TEXT,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:cj-mills/coco-instance-segmentation-toy-dataset,cj-mills/coco-instance-segmentation-toy-dataset,https://huggingface.co/datasets/cj-mills/coco-instance-segmentation-toy-dataset,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:cj-mills/cvat-instance-segmentation-toy-dataset,cj-mills/cvat-instance-segmentation-toy-dataset,https://huggingface.co/datasets/cj-mills/cvat-instance-segmentation-toy-dataset,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:cj-mills/labelme-instance-segmentation-toy-dataset,cj-mills/labelme-instance-segmentation-toy-dataset,https://huggingface.co/datasets/cj-mills/labelme-instance-segmentation-toy-dataset,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:CoconutData/Coconutmortalityrate,CoconutData/Coconutmortalityrate,https://huggingface.co/datasets/CoconutData/Coconutmortalityrate,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:codeur-rapide/images_yolo,codeur-rapide/images_yolo,https://huggingface.co/datasets/codeur-rapide/images_yolo,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:comet-team/coco-500,comet-team/coco-500,https://huggingface.co/datasets/comet-team/coco-500,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:correll/semanticsegmentationandposeestimationfromrgbd,correll/semanticsegmentationandposeestimationfromrgbd,https://huggingface.co/datasets/correll/semanticsegmentationandposeestimationfromrgbd,P3,unknown,conversion_required,mask_ready,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:csmithxc/yoloworld-test,csmithxc/yoloworld-test,https://huggingface.co/datasets/csmithxc/yoloworld-test,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:DamarJati/Example-YOLO,DamarJati/Example-YOLO,https://huggingface.co/datasets/DamarJati/Example-YOLO,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:DamarJati/face-hands-YOLOv5,DamarJati/face-hands-YOLOv5,https://huggingface.co/datasets/DamarJati/face-hands-YOLOv5,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:DarjaCore/algerian-darja-sample,DarjaCore/algerian-darja-sample,https://huggingface.co/datasets/DarjaCore/algerian-darja-sample,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:davanstrien/embellishments-sample,davanstrien/embellishments-sample,https://huggingface.co/datasets/davanstrien/embellishments-sample,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:DeceptionPro/EDR_Telemetry_Sample,DeceptionPro/EDR_Telemetry_Sample,https://huggingface.co/datasets/DeceptionPro/EDR_Telemetry_Sample,P3,unknown,conversion_required,box_prompt_convertible,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:detection-datasets/coco,detection-datasets/coco,https://huggingface.co/datasets/detection-datasets/coco,P3,unknown,conversion_required,box_prompt_convertible,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:dhvazquez/mtg_synthetic_cards_semantic_segmentation,dhvazquez/mtg_synthetic_cards_semantic_segmentation,https://huggingface.co/datasets/dhvazquez/mtg_synthetic_cards_semantic_segmentation,P3,unknown,review_required,mask_ready,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:Dinusharg/semantic_segmentation_footpath_grass_road_water_v1,Dinusharg/semantic_segmentation_footpath_grass_road_water_v1,https://huggingface.co/datasets/Dinusharg/semantic_segmentation_footpath_grass_road_water_v1,P3,unknown,review_required,mask_ready,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:dnnslnk/Semantic_Segmentation_Screws,dnnslnk/Semantic_Segmentation_Screws,https://huggingface.co/datasets/dnnslnk/Semantic_Segmentation_Screws,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:dwb2023/brain-tumor-image-dataset-semantic-segmentation,dwb2023/brain-tumor-image-dataset-semantic-segmentation,https://huggingface.co/datasets/dwb2023/brain-tumor-image-dataset-semantic-segmentation,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:dylangirrens/semantic-segmentation-dataset,dylangirrens/semantic-segmentation-dataset,https://huggingface.co/datasets/dylangirrens/semantic-segmentation-dataset,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:embedding-data/coco_captions_quintets,embedding-data/coco_captions_quintets,https://huggingface.co/datasets/embedding-data/coco_captions_quintets,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:enterprise-explorers/coco-semantic-segmentation,enterprise-explorers/coco-semantic-segmentation,https://huggingface.co/datasets/enterprise-explorers/coco-semantic-segmentation,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:EpicPinkPenguin/cmu_panoptic_dataset_instance_segmentation_mask,EpicPinkPenguin/cmu_panoptic_dataset_instance_segmentation_mask,https://huggingface.co/datasets/EpicPinkPenguin/cmu_panoptic_dataset_instance_segmentation_mask,P3,unknown,review_required,mask_ready,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:EssentialAI/eai-taxonomy-stem-w-dclm-100b-sample,EssentialAI/eai-taxonomy-stem-w-dclm-100b-sample,https://huggingface.co/datasets/EssentialAI/eai-taxonomy-stem-w-dclm-100b-sample,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:etaylor/trichomes_moment_lens_instance_segmentation,etaylor/trichomes_moment_lens_instance_segmentation,https://huggingface.co/datasets/etaylor/trichomes_moment_lens_instance_segmentation,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:eto-ai/coco,eto-ai/coco,https://huggingface.co/datasets/eto-ai/coco,P3,unknown,conversion_required,box_prompt_convertible,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:fcakyon/crack-instance-segmentation,fcakyon/crack-instance-segmentation,https://huggingface.co/datasets/fcakyon/crack-instance-segmentation,P3,unknown,review_required,mask_ready,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:foduucom/table-detection-yolo,foduucom/table-detection-yolo,https://huggingface.co/datasets/foduucom/table-detection-yolo,P3,unknown,conversion_required,box_prompt_convertible,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:FormDesignLabs/Aesthetic3D_Sample_Part1,FormDesignLabs/Aesthetic3D_Sample_Part1,https://huggingface.co/datasets/FormDesignLabs/Aesthetic3D_Sample_Part1,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:Growing-Moss-Data/automotive-service-intelligence-sample,Growing-Moss-Data/automotive-service-intelligence-sample,https://huggingface.co/datasets/Growing-Moss-Data/automotive-service-intelligence-sample,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:GWHS/sample_dataset,GWHS/sample_dataset,https://huggingface.co/datasets/GWHS/sample_dataset,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:gymprathap/Semantic-Segmentation-Aerial-Imagery-Dataset,gymprathap/Semantic-Segmentation-Aerial-Imagery-Dataset,https://huggingface.co/datasets/gymprathap/Semantic-Segmentation-Aerial-Imagery-Dataset,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:h4iku/coconut_c2005,h4iku/coconut_c2005,https://huggingface.co/datasets/h4iku/coconut_c2005,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:h4iku/coconut_c2005_preprocessed,h4iku/coconut_c2005_preprocessed,https://huggingface.co/datasets/h4iku/coconut_c2005_preprocessed,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:h4iku/coconut_java2006,h4iku/coconut_java2006,https://huggingface.co/datasets/h4iku/coconut_java2006,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:h4iku/coconut_java2006_preprocessed,h4iku/coconut_java2006_preprocessed,https://huggingface.co/datasets/h4iku/coconut_java2006_preprocessed,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:h4iku/coconut_javascript2010,h4iku/coconut_javascript2010,https://huggingface.co/datasets/h4iku/coconut_javascript2010,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:h4iku/coconut_javascript2010_preprocessed,h4iku/coconut_javascript2010_preprocessed,https://huggingface.co/datasets/h4iku/coconut_javascript2010_preprocessed,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:h4iku/coconut_python2010,h4iku/coconut_python2010,https://huggingface.co/datasets/h4iku/coconut_python2010,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:h4iku/coconut_python2010_preprocessed,h4iku/coconut_python2010_preprocessed,https://huggingface.co/datasets/h4iku/coconut_python2010_preprocessed,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:hamnaanaa/Duckietown-Multiclass-Semantic-Segmentation-Dataset,hamnaanaa/Duckietown-Multiclass-Semantic-Segmentation-Dataset,https://huggingface.co/datasets/hamnaanaa/Duckietown-Multiclass-Semantic-Segmentation-Dataset,P3,unknown,review_required,mask_ready,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:haqi001/VALORANT_destection_head_body_yolo,haqi001/VALORANT_destection_head_body_yolo,https://huggingface.co/datasets/haqi001/VALORANT_destection_head_body_yolo,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:HenryYHW/DriveDNA-Sample,HenryYHW/DriveDNA-Sample,https://huggingface.co/datasets/HenryYHW/DriveDNA-Sample,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:hf-internal-testing/cats_vs_dogs_sample,hf-internal-testing/cats_vs_dogs_sample,https://huggingface.co/datasets/hf-internal-testing/cats_vs_dogs_sample,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:hmnshudhmn24/minecraft-mobs-yolo-dataset,hmnshudhmn24/minecraft-mobs-yolo-dataset,https://huggingface.co/datasets/hmnshudhmn24/minecraft-mobs-yolo-dataset,P3,unknown,native_yolo,box_prompt_convertible,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:Hoi0624/yolov1_dataset,Hoi0624/yolov1_dataset,https://huggingface.co/datasets/Hoi0624/yolov1_dataset,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:HoioH/yolov1_dataset,HoioH/yolov1_dataset,https://huggingface.co/datasets/HoioH/yolov1_dataset,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:huggingartists/cocomelon,huggingartists/cocomelon,https://huggingface.co/datasets/huggingartists/cocomelon,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:huggingartists/john-k-samson,huggingartists/john-k-samson,https://huggingface.co/datasets/huggingartists/john-k-samson,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:huggingartists/sam-kim,huggingartists/sam-kim,https://huggingface.co/datasets/huggingartists/sam-kim,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:huggingface/semantic-segmentation-test-sample,huggingface/semantic-segmentation-test-sample,https://huggingface.co/datasets/huggingface/semantic-segmentation-test-sample,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:HuggingFaceM4/COCO,HuggingFaceM4/COCO,https://huggingface.co/datasets/HuggingFaceM4/COCO,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:industoai/Egg-Instance-Segmentation,industoai/Egg-Instance-Segmentation,https://huggingface.co/datasets/industoai/Egg-Instance-Segmentation,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:introvoyz041/KG_Instance_Segmentation,introvoyz041/KG_Instance_Segmentation,https://huggingface.co/datasets/introvoyz041/KG_Instance_Segmentation,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:introvoyz041/MICCAI2021_Cataract_semantic_segmentation,introvoyz041/MICCAI2021_Cataract_semantic_segmentation,https://huggingface.co/datasets/introvoyz041/MICCAI2021_Cataract_semantic_segmentation,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:Invicto69/Job-dataset-samples,Invicto69/Job-dataset-samples,https://huggingface.co/datasets/Invicto69/Job-dataset-samples,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:jacobbieker/open-crab-sample,jacobbieker/open-crab-sample,https://huggingface.co/datasets/jacobbieker/open-crab-sample,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:jeanpat/SmallOverlapChrom-COCO125,jeanpat/SmallOverlapChrom-COCO125,https://huggingface.co/datasets/jeanpat/SmallOverlapChrom-COCO125,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:Jenk9/exo2exo-selected-EgoExo4D-pair-same-random,Jenk9/exo2exo-selected-EgoExo4D-pair-same-random,https://huggingface.co/datasets/Jenk9/exo2exo-selected-EgoExo4D-pair-same-random,P3,unknown,review_required,mask_ready,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,huggingface:jrahn/yolochess_deepblue,jrahn/yolochess_deepblue,https://huggingface.co/datasets/jrahn/yolochess_deepblue,P3,unknown,review_required,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
