source_id,title,provider,catalog_url,tasks,annotation_types,modalities,yolo_readiness,sam3_readiness,license,commercial_use,access,estimated_size,priority,summary,risk_notes,discovery_origin,last_seen_at
huggingface:AgamP/YolovCsv,AgamP/YolovCsv,Hugging Face Hub,https://huggingface.co/datasets/AgamP/YolovCsv,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""yolo"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:yolo,2026-09-06T07:19:42+00:00
huggingface:ai4bharat/samanantar,ai4bharat/samanantar,Hugging Face Hub,https://huggingface.co/datasets/ai4bharat/samanantar,text-generation | translation,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""sam"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:sam,2026-09-06T07:19:42+00:00
huggingface:ali-sh07/Phenobench_semantic_segmentation,ali-sh07/Phenobench_semantic_segmentation,Hugging Face Hub,https://huggingface.co/datasets/ali-sh07/Phenobench_semantic_segmentation,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""semantic segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:semantic segmentation,2026-09-06T07:19:42+00:00
huggingface:alimranfakir/yolov8,alimranfakir/yolov8,Hugging Face Hub,https://huggingface.co/datasets/alimranfakir/yolov8,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,mit,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""yolo"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:yolo,2026-09-06T07:19:42+00:00
huggingface:AnnalisaAppice/SWIFTT-bark_beetle_detection_semantic_segmentation,AnnalisaAppice/SWIFTT-bark_beetle_detection_semantic_segmentation,Hugging Face Hub,https://huggingface.co/datasets/AnnalisaAppice/SWIFTT-bark_beetle_detection_semantic_segmentation,unknown,segmentation (directory tag),image or multimodal; inspect dataset card,review_required,mask_ready,cc-by-nc-sa-4.0,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""semantic segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:semantic segmentation,2026-09-06T07:19:42+00:00
huggingface:approximatelabs/tablib-v1-sample,approximatelabs/tablib-v1-sample,Hugging Face Hub,https://huggingface.co/datasets/approximatelabs/tablib-v1-sample,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,other,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""sam"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:sam,2026-09-06T07:19:42+00:00
huggingface:archispace/ROI-1555_Rebar_Detection_and_Instance_Segmentation_Dataset,archispace/ROI-1555_Rebar_Detection_and_Instance_Segmentation_Dataset,Hugging Face Hub,https://huggingface.co/datasets/archispace/ROI-1555_Rebar_Detection_and_Instance_Segmentation_Dataset,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""instance segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:instance segmentation,2026-09-06T07:19:42+00:00
huggingface:as-cle-bert/breastcancer-semantic-segmentation,as-cle-bert/breastcancer-semantic-segmentation,Hugging Face Hub,https://huggingface.co/datasets/as-cle-bert/breastcancer-semantic-segmentation,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,cc,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""semantic segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:semantic segmentation,2026-09-06T07:19:42+00:00
huggingface:As-im/Delhi-Canopy-High-Res-Semantic-Segmentation,As-im/Delhi-Canopy-High-Res-Semantic-Segmentation,Hugging Face Hub,https://huggingface.co/datasets/As-im/Delhi-Canopy-High-Res-Semantic-Segmentation,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,mit,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""semantic segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:semantic segmentation,2026-09-06T07:19:42+00:00
huggingface:aspis/car_background_removal_coco_panoptic,aspis/car_background_removal_coco_panoptic,Hugging Face Hub,https://huggingface.co/datasets/aspis/car_background_removal_coco_panoptic,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""coco"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:coco,2026-09-06T07:19:42+00:00
huggingface:aspis/car_background_removal_coco_panoptic_test,aspis/car_background_removal_coco_panoptic_test,Hugging Face Hub,https://huggingface.co/datasets/aspis/car_background_removal_coco_panoptic_test,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""coco"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:coco,2026-09-06T07:19:42+00:00
huggingface:ATUMUNMOON/Egg-Instance-Segmentation,ATUMUNMOON/Egg-Instance-Segmentation,Hugging Face Hub,https://huggingface.co/datasets/ATUMUNMOON/Egg-Instance-Segmentation,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,cc-by-nc-4.0,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""instance segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:instance segmentation,2026-09-06T07:19:42+00:00
huggingface:autoevaluate/autoeval-eval-autoevaluate__zero-shot-classification-sample-autoevalu-912bbb-1484454284,autoevaluate/autoeval-eval-autoevaluate__zero-shot-classification-sample-autoevalu-912bbb-1484454284,Hugging Face Hub,https://huggingface.co/datasets/autoevaluate/autoeval-eval-autoevaluate__zero-shot-classification-sample-autoevalu-912bbb-1484454284,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""sam"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:sam,2026-09-06T07:19:42+00:00
huggingface:beethogedeon/Trucks-Detection-Yolov8,beethogedeon/Trucks-Detection-Yolov8,Hugging Face Hub,https://huggingface.co/datasets/beethogedeon/Trucks-Detection-Yolov8,object-detection,unknown,image or multimodal; inspect dataset card,conversion_required,box_prompt_convertible,cc-by-3.0,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""yolo"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:yolo,2026-09-06T07:19:42+00:00
huggingface:bertin-project/mc4-es-sampled,bertin-project/mc4-es-sampled,Hugging Face Hub,https://huggingface.co/datasets/bertin-project/mc4-es-sampled,fill-mask | text-generation,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""sam"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:sam,2026-09-06T07:19:42+00:00
huggingface:bertin-project/mc4-sampling,bertin-project/mc4-sampling,Hugging Face Hub,https://huggingface.co/datasets/bertin-project/mc4-sampling,fill-mask | text-generation,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""sam"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:sam,2026-09-06T07:19:42+00:00
huggingface:BIDJOE/chvg-yolo,BIDJOE/chvg-yolo,Hugging Face Hub,https://huggingface.co/datasets/BIDJOE/chvg-yolo,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""yolo"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:yolo,2026-09-06T07:19:42+00:00
huggingface:Bingsu/wider_face_yolo,Bingsu/wider_face_yolo,Hugging Face Hub,https://huggingface.co/datasets/Bingsu/wider_face_yolo,object-detection,unknown,image or multimodal; inspect dataset card,conversion_required,box_prompt_convertible,cc-by-nc-nd-4.0,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""yolo"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:yolo,2026-09-06T07:19:42+00:00
huggingface:bryanbocao/coco_minitrain,bryanbocao/coco_minitrain,Hugging Face Hub,https://huggingface.co/datasets/bryanbocao/coco_minitrain,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,cc-by-4.0,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""coco"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:coco,2026-09-06T07:19:42+00:00
huggingface:CanPeh98/InstanceSegmentation,CanPeh98/InstanceSegmentation,Hugging Face Hub,https://huggingface.co/datasets/CanPeh98/InstanceSegmentation,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""instance segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:instance segmentation,2026-09-06T07:19:42+00:00
huggingface:ceram1324/YOLO-GC,ceram1324/YOLO-GC,Hugging Face Hub,https://huggingface.co/datasets/ceram1324/YOLO-GC,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""yolo"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:yolo,2026-09-06T07:19:42+00:00
huggingface:chitradrishti/SemanticSegmentation,chitradrishti/SemanticSegmentation,Hugging Face Hub,https://huggingface.co/datasets/chitradrishti/SemanticSegmentation,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""semantic segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:semantic segmentation,2026-09-06T07:19:42+00:00
huggingface:chmanoj/ai4bharat__samanantar_processed_te,chmanoj/ai4bharat__samanantar_processed_te,Hugging Face Hub,https://huggingface.co/datasets/chmanoj/ai4bharat__samanantar_processed_te,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""sam"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:sam,2026-09-06T07:19:42+00:00
huggingface:ChristophSchuhmann/MS_COCO_2017_URL_TEXT,ChristophSchuhmann/MS_COCO_2017_URL_TEXT,Hugging Face Hub,https://huggingface.co/datasets/ChristophSchuhmann/MS_COCO_2017_URL_TEXT,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""coco"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:coco,2026-09-06T07:19:42+00:00
huggingface:cj-mills/coco-instance-segmentation-toy-dataset,cj-mills/coco-instance-segmentation-toy-dataset,Hugging Face Hub,https://huggingface.co/datasets/cj-mills/coco-instance-segmentation-toy-dataset,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,mit,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""instance segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:instance segmentation,2026-09-06T07:19:42+00:00
huggingface:cj-mills/cvat-instance-segmentation-toy-dataset,cj-mills/cvat-instance-segmentation-toy-dataset,Hugging Face Hub,https://huggingface.co/datasets/cj-mills/cvat-instance-segmentation-toy-dataset,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,mit,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""instance segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:instance segmentation,2026-09-06T07:19:42+00:00
huggingface:cj-mills/labelme-instance-segmentation-toy-dataset,cj-mills/labelme-instance-segmentation-toy-dataset,Hugging Face Hub,https://huggingface.co/datasets/cj-mills/labelme-instance-segmentation-toy-dataset,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,mit,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""instance segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:instance segmentation,2026-09-06T07:19:42+00:00
huggingface:CoconutData/Coconutmortalityrate,CoconutData/Coconutmortalityrate,Hugging Face Hub,https://huggingface.co/datasets/CoconutData/Coconutmortalityrate,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,openrail,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""coco"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:coco,2026-09-06T07:19:42+00:00
huggingface:codeur-rapide/images_yolo,codeur-rapide/images_yolo,Hugging Face Hub,https://huggingface.co/datasets/codeur-rapide/images_yolo,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,apache-2.0,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""yolo"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:yolo,2026-09-06T07:19:42+00:00
huggingface:comet-team/coco-500,comet-team/coco-500,Hugging Face Hub,https://huggingface.co/datasets/comet-team/coco-500,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""coco"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:coco,2026-09-06T07:19:42+00:00
huggingface:correll/semanticsegmentationandposeestimationfromrgbd,correll/semanticsegmentationandposeestimationfromrgbd,Hugging Face Hub,https://huggingface.co/datasets/correll/semanticsegmentationandposeestimationfromrgbd,image-classification | image-segmentation | object-detection,segmentation (directory tag),image or multimodal; inspect dataset card,conversion_required,mask_ready,mit,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""semantic segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:semantic segmentation,2026-09-06T07:19:42+00:00
huggingface:csmithxc/yoloworld-test,csmithxc/yoloworld-test,Hugging Face Hub,https://huggingface.co/datasets/csmithxc/yoloworld-test,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""yolo"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:yolo,2026-09-06T07:19:42+00:00
huggingface:DamarJati/Example-YOLO,DamarJati/Example-YOLO,Hugging Face Hub,https://huggingface.co/datasets/DamarJati/Example-YOLO,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""yolo"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:yolo,2026-09-06T07:19:42+00:00
huggingface:DamarJati/face-hands-YOLOv5,DamarJati/face-hands-YOLOv5,Hugging Face Hub,https://huggingface.co/datasets/DamarJati/face-hands-YOLOv5,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""yolo"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:yolo,2026-09-06T07:19:42+00:00
huggingface:DarjaCore/algerian-darja-sample,DarjaCore/algerian-darja-sample,Hugging Face Hub,https://huggingface.co/datasets/DarjaCore/algerian-darja-sample,text-generation,unknown,image or multimodal; inspect dataset card,review_required,review_required,mit,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""sam"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:sam,2026-09-06T07:19:42+00:00
